Ветка BSC,Перспектива,KPI,Инициатива,Дата,План,Факт,Δ,Домен,Столбец 1,Столбец 2,Столбец 3,Столбец 4,Столбец 5,Столбец 6,Столбец 7,Столбец 8,Столбец 9,Столбец 10,Столбец 11,Столбец 12,Столбец 13
Рост выручки,Клиенты,Conversion rate,CRM + лид-скоринг + аналитика,31.12.2029,"0,36",,,Рост продаж,,,,,,,,,,,,,
Рост выручки,Финансы,Выручка,CRM + управление воронкой продаж,31.12.2025,110000000,"110 000 000,00",0,Финансы,,,,,,,,,,,,,
Рост выручки,Финансы,Выручка,CRM + управление воронкой продаж,31.12.2027,120000000,"110 000 000,00",-10,Финансы,,,,,,,,,,,,,
Рост выручки,Финансы,Выручка,CRM + управление воронкой продаж,31.12.2028,138000000,"130 000 000,00",-8,Финансы,,,,,,,,,,,,,
Рост выручки,Финансы,Выручка,CRM + управление воронкой продаж,31.12.2029,160000000,,,Финансы,,,,,,,,,,,,,
Операционная эффективность,Обучение и потенциал,Data literacy,ERP (EOQ) + обучение аналитике,31.12.2025,"0,3","0,30",0,Аналитика запасов,,,,,,,,,,,,,
Операционная эффективность,Обучение и потенциал,Data literacy,ERP (EOQ) + обучение аналитике,31.12.2027,"0,5","0,45","-0,05",Аналитика запасов,,,,,,,,,,,,,
Операционная эффективность,Обучение и потенциал,Data literacy,ERP (EOQ) + обучение аналитике,31.12.2028,"0,75","0,68","-0,07",Аналитика запасов,,,,,,,,,,,,,
Операционная эффективность,Обучение и потенциал,Data literacy,ERP (EOQ) + обучение аналитике,31.12.2029,"0,9",,,Аналитика запасов,,,,,,,,,,,,,
Операционная эффективность,Процессы,Inventory accuracy,ERP + WMS интеграция,31.12.2025,"0,7","0,70",0,Управление запасами,,,,,,,,,,,,,
Операционная эффективность,Процессы,Inventory accuracy,ERP + WMS интеграция,31.12.2027,"0,8","0,75","-0,05",Управление запасами,,,,,,,,,,,,,
Операционная эффективность,Процессы,Inventory accuracy,ERP + WMS интеграция,31.12.2028,"0,92","0,88","-0,04",Управление запасами,,,,,,,,,,,,,
Операционная эффективность,Процессы,Inventory accuracy,ERP + WMS интеграция,31.12.2029,"0,98",,,Управление запасами,,,,,,,,,,,,,
Операционная эффективность,Клиенты,OTIF,ERP + планирование поставок,31.12.2025,"0,8","0,80",0,Логистика,,,,,,,,,,,,,
Операционная эффективность,Клиенты,OTIF,ERP + планирование поставок,31.12.2027,"0,88","0,84","-0,04",Логистика,,,,,,,,,,,,,
Операционная эффективность,Клиенты,OTIF,ERP + планирование поставок,31.12.2028,"0,94","0,91","-0,03",Логистика,,,,,,,,,,,,,
Операционная эффективность,Клиенты,OTIF,ERP + планирование поставок,31.12.2029,"0,98",,,Логистика,,,,,,,,,,,,,
Операционная эффективность,Финансы,DIO,ERP (EOQ) + оптимизация запасов,31.12.2025,95,"95,00",0,Оборотный капитал,,,,,,,,,,,,,
Операционная эффективность,Финансы,DIO,ERP (EOQ) + оптимизация запасов,31.12.2027,85,"92,00",7,Оборотный капитал,,,,,,,,,,,,,
Операционная эффективность,Финансы,DIO,ERP (EOQ) + оптимизация запасов,31.12.2028,68,"74,00",6,Оборотный капитал,,,,,,,,,,,,,
Операционная эффективность,Финансы,DIO,ERP (EOQ) + оптимизация запасов,31.12.2029,55,,,Оборотный капитал,,,,,,,,,,,,,
Управление через данные,Обучение и потенциал,Dashboard usage,BI платформа + обучение,31.12.2025,"0,25","0,25",0,Data management,,,,,,,,,,,,,
Управление через данные,Обучение и потенциал,Dashboard usage,BI платформа + обучение,31.12.2027,"0,5","0,42","-0,08",Data management,,,,,,,,,,,,,
Управление через данные,Обучение и потенциал,Dashboard usage,BI платформа + обучение,31.12.2028,"0,8","0,70","-0,1",Data management,,,,,,,,,,,,,
Управление через данные,Обучение и потенциал,Dashboard usage,BI платформа + обучение,31.12.2029,"0,95",,,Data management,,,,,,,,,,,,,
Управление через данные,Процессы,KPI coverage,BI + KPI framework внедрение,31.12.2025,"0,4","0,40",0,Управление эффективностью,,,,,,,,,,,,,
Управление через данные,Процессы,KPI coverage,BI + KPI framework внедрение,31.12.2027,"0,6","0,55","-0,05",Управление эффективностью,,,,,,,,,,,,,
Управление через данные,Процессы,KPI coverage,BI + KPI framework внедрение,31.12.2028,"0,85","0,80","-0,05",Управление эффективностью,,,,,,,,,,,,,
Управление через данные,Процессы,KPI coverage,BI + KPI framework внедрение,31.12.2029,1,,,Управление эффективностью,,,,,,,,,,,,,
Управление через данные,Клиенты / внутренние,Reporting speed,BI dashboards + автоматизация отчетности,31.12.2025,3,"3,00",0,BI и отчетность,,,,,,,,,,,,,
Управление через данные,Клиенты / внутренние,Reporting speed,BI dashboards + автоматизация отчетности,31.12.2027,1,"2,00",1,BI и отчетность,,,,,,,,,,,,,
Управление через данные,Клиенты / внутренние,Reporting speed,BI dashboards + автоматизация отчетности,31.12.2028,2,"4,00",2,BI и отчетность,,,,,,,,,,,,,
Управление через данные,Клиенты / внутренние,Reporting speed,BI dashboards + автоматизация отчетности,31.12.2029,0,,,BI и отчетность,,,,,,,,,,,,,
Управление через данные,Финансы,EBITDA margin,BI + финансовая аналитика,31.12.2025,"0,17","0,17",0,Финансы,,,,,,,,,,,,,
Управление через данные,Финансы,EBITDA margin,BI + финансовая аналитика,31.12.2027,"0,2","0,18","-0,02",Финансы,,,,,,,,,,,,,
Управление через данные,Финансы,EBITDA margin,BI + финансовая аналитика,31.12.2028,"0,22","0,20","-0,02",Финансы,,,,,,,,,,,,,
Управление через данные,Финансы,EBITDA margin,BI + финансовая аналитика,31.12.2029,"0,25",,,Финансы,,,,,,,,,,,,,
